,,,,,,,,Top Performers,Top Performers,Top Performers,Top Performers,,Playoffs,Playoffs,Playoffs,,,,
Tm,From,To,W,L,T,W-L%,AV,Passer,Rusher,Receiver,Coaching,Yr plyf,W plyf,L plyf,W-L%,Chmp,SBwl,Conf,Div
Arizona Cardinals,1920,2018,553,753,40,.424,Hart,Hart,Anderson,Fitzgerald,Arians,10,7,9,0.438,2,0,1,8
Chicago Cardinals,1920,1943,99,141,21,.413,,,,,,0,0,0,,1,0,0,1
Chi/Pit Cards/Steelers,1944,1944,0,10,0,.000,,,,,,0,0,0,,0,0,0,0
Chicago Cardinals,1945,1959,66,107,4,.382,,,,,,2,1,1,,1,0,0,2
St. Louis Cardinals,1960,1987,186,202,14,.480,,,,,,3,0,3,,0,0,0,2
Phoenix Cardinals,1988,1993,32,64,0,.333,,,,,,0,0,0,,0,0,0,0
Arizona Cardinals,1994,2018,170,229,1,.426,,,,,,5,6,5,,0,0,1,3
Atlanta Falcons,1966,2018,358,452,6,.442,Ryan,Ryan,Riggs,White,Smith,14,10,14,0.417,0,0,2,7
Baltimore Ravens,1996,2018,200,167,1,.545,Lewis,Flacco,Lewis,Mason,Harbaugh,11,15,9,0.625,2,2,2,5
Buffalo Bills,1960,2018,415,477,8,.465,Smith,Kelly,Thomas,Reed,Levy,18,14,16,0.467,2,0,4,11
Carolina Panthers,1995,2018,190,193,1,.496,Newton,Newton,Stewart,Smith,Fox,8,9,8,0.529,0,0,2,6
Chicago Bears,1920,2018,761,583,42,.566,Payton,Cutler,Payton,Morris,Halas,26,17,19,0.472,9,1,2,24
Decatur Staleys,1920,1920,10,1,2,.909,,,,,,0,0,0,,0,0,0,0
Chicago Staleys,1921,1921,9,1,1,.900,,,,,,0,0,0,,1,0,0,1
Chicago Bears,1922,2018,742,581,39,.561,,,,,,26,17,19,,8,1,2,23
Cincinnati Bengals,1968,2018,357,427,4,.456,Munoz,Anderson,Dillon,Johnson,Lewis,14,5,14,0.263,0,0,2,10
Cleveland Browns,1946,2018,516,494,14,.511,Matthews,Sipe,Brown,Newsome,Brown,28,16,20,0.444,8,0,0,23
Dallas Cowboys,1960,2018,512,380,6,.574,Smith,Romo,Smith,Witten,Landry,33,35,28,0.556,5,5,8,24
Denver Broncos,1960,2018,476,414,10,.535,Elway,Elway,Davis,Smith,Shanahan,22,23,19,0.548,3,3,8,15
Detroit Lions,1930,2018,559,658,32,.459,Sanders,Stafford,Sanders,Johnson,Fontes,17,7,13,0.350,4,0,0,8
Portsmouth Spartans,1930,1933,28,16,7,.636,,,,,,0,0,0,,0,0,0,0
Detroit Lions,1934,2018,531,642,25,.453,,,,,,17,7,13,,4,0,0,8
Green Bay Packers,1921,2018,743,571,38,.565,Favre,Favre,Green,Driver,Lambeau,32,34,22,0.607,13,4,5,28
Houston Texans,2002,2018,121,151,0,.445,Johnson,Schaub,Foster,Johnson,Kubiak,5,3,5,0.375,0,0,0,5
Indianapolis Colts,1953,2018,516,459,7,.529,Manning,Manning,James,Harrison,Dungy,28,23,24,0.489,4,2,4,21
Baltimore Colts,1953,1983,222,194,7,.534,,,,,,10,8,7,,3,1,2,10
Indianapolis Colts,1984,2018,294,265,0,.526,,,,,,18,15,17,,1,1,2,11
Jacksonville Jaguars,1995,2018,170,214,0,.443,Smith,Brunell,Taylor,Smith,Coughlin,7,7,7,0.500,0,0,0,3
Kansas City Chiefs,1960,2018,469,419,12,.528,Shields,Dawson,Charles,Gonzalez,Stram,21,10,19,0.345,2,1,2,12
